data;vencimento;prazo_anos;taxa_compra_manha;taxa_venda_manha;taxa_media
2012-01-02;2012-08-15;0,618754;0,043000;0,043200;0,043100
2012-01-02;2013-05-15;1,366188;0,043800;0,044000;0,043900
2012-01-02;2015-05-15;3,364819;0,051400;0,051800;0,051600
2012-01-02;2017-05-15;5,366188;0,053200;0,053800;0,053500
2012-01-02;2020-08-15;8,618754;0,055300;0,055900;0,055600
2012-01-02;2024-08-15;12,618754;0,054500;0,055300;0,054900
2012-01-02;2035-05-15;23,364819;0,055200;0,056200;0,055700
2012-01-02;2045-05-15;33,366188;0,055200;0,056200;0,055700
2012-01-03;2012-08-15;0,616016;0,042700;0,042900;0,042800
2012-01-03;2013-05-15;1,363450;0,043300;0,043500;0,043400
2012-01-03;2015-05-15;3,362081;0,051100;0,051500;0,051300
2012-01-03;2017-05-15;5,363450;0,052900;0,053500;0,053200
2012-01-03;2020-08-15;8,616016;0,054900;0,055500;0,055200
2012-01-03;2024-08-15;12,616016;0,054100;0,054900;0,054500
2012-01-03;2035-05-15;23,362081;0,054800;0,055800;0,055300
2012-01-03;2045-05-15;33,363450;0,054800;0,055800;0,055300
2012-01-04;2012-08-15;0,613279;0,042700;0,042900;0,042800
2012-01-04;2013-05-15;1,360712;0,043300;0,043500;0,043400
2012-01-04;2015-05-15;3,359343;0,051200;0,051600;0,051400
2012-01-04;2017-05-15;5,360712;0,053000;0,053600;0,053300
2012-01-04;2020-08-15;8,613279;0,055100;0,055700;0,055400
2012-01-04;2024-08-15;12,613279;0,054000;0,054800;0,054400
2012-01-04;2035-05-15;23,359343;0,054700;0,055700;0,055200
2012-01-04;2045-05-15;33,360712;0,054800;0,055800;0,055300
2012-01-05;2012-08-15;0,610541;0,043000;0,043200;0,043100
2012-01-05;2013-05-15;1,357974;0,043800;0,044000;0,043900
2012-01-05;2015-05-15;3,356605;0,052100;0,052500;0,052300
2012-01-05;2017-05-15;5,357974;0,053800;0,054400;0,054100
2012-01-05;2020-08-15;8,610541;0,055900;0,056500;0,056200
2012-01-05;2024-08-15;12,610541;0,054700;0,055500;0,055100
2012-01-05;2035-05-15;23,356605;0,055400;0,056400;0,055900
2012-01-05;2045-05-15;33,357974;0,055300;0,056300;0,055800
2012-01-06;2012-08-15;0,607803;0,043300;0,043500;0,043400
2012-01-06;2013-05-15;1,355236;0,043900;0,044100;0,044000
2012-01-06;2015-05-15;3,353867;0,052800;0,053200;0,053000
2012-01-06;2017-05-15;5,355236;0,054400;0,055000;0,054700
2012-01-06;2020-08-15;8,607803;0,056400;0,057000;0,056700
