data;embi_bps;embi_decimal
2016-01-04;532;0,053200
2016-01-05;497;0,049700
2016-01-06;505;0,050500
2016-01-07;506;0,050600
2016-01-08;512;0,051200
2016-01-11;506;0,050600
2016-01-12;506;0,050600
2016-01-13;521;0,052100
2016-01-14;512;0,051200
2016-01-15;533;0,053300
2016-01-18;533;0,053300
2016-01-19;533;0,053300
2016-01-20;544;0,054400
2016-01-21;534;0,053400
2016-01-22;514;0,051400
2016-01-25;523;0,052300
2016-01-26;511;0,051100
2016-01-27;503;0,050300
2016-01-28;499;0,049900
2016-01-29;512;0,051200
2016-02-01;513;0,051300
2016-02-02;530;0,053000
2016-02-03;525;0,052500
2016-02-04;523;0,052300
2016-02-05;521;0,052100
2016-02-08;548;0,054800
2016-02-09;547;0,054700
2016-02-10;554;0,055400
2016-02-11;569;0,056900
2016-02-12;554;0,055400
2016-02-15;554;0,055400
2016-02-16;549;0,054900
2016-02-17;535;0,053500
2016-02-18;539;0,053900
2016-02-19;529;0,052900
2016-02-22;521;0,052100
2016-02-23;519;0,051900
2016-02-24;506;0,050600
2016-02-25;513;0,051300
2016-02-26;506;0,050600
2016-02-29;502;0,050200
2016-03-01;489;0,048900
2016-03-02;485;0,048500
2016-03-03;462;0,046200
2016-03-04;447;0,044700
2016-03-07;452;0,045200
2016-03-08;460;0,046000
2016-03-09;440;0,044000
2016-03-10;434;0,043400
2016-03-11;427;0,042700
2016-03-14;437;0,043700
2016-03-15;459;0,045900
2016-03-16;457;0,045700
2016-03-17;435;0,043500
2016-03-18;409;0,040900
2016-03-21;392;0,039200
2016-03-22;391;0,039100
2016-03-23;419;0,041900
2016-03-24;427;0,042700
2016-03-28;419;0,041900
2016-03-29;416;0,041600
2016-03-30;404;0,040400
2016-03-31;409;0,040900
2016-04-01;404;0,040400
2016-04-04;413;0,041300
2016-04-05;432;0,043200
2016-04-06;430;0,043000
2016-04-07;449;0,044900
2016-04-08;440;0,044000
2016-04-11;416;0,041600
2016-04-12;397;0,039700
2016-04-13;387;0,038700
2016-04-14;382;0,038200
2016-04-15;387;0,038700
2016-04-18;394;0,039400
2016-04-19;390;0,039000
2016-04-20;385;0,038500
2016-04-21;400;0,040000
2016-04-22;406;0,040600
2016-04-25;403;0,040300
2016-04-26;397;0,039700
2016-04-27;382;0,038200
2016-04-28;385;0,038500
2016-04-29;385;0,038500
2016-05-02;382;0,038200
2016-05-03;392;0,039200
2016-05-04;395;0,039500
2016-05-05;397;0,039700
2016-05-06;390;0,039000
2016-05-09;394;0,039400
2016-05-10;387;0,038700
2016-05-11;379;0,037900
2016-05-12;376;0,037600
2016-05-13;382;0,038200
2016-05-16;375;0,037500
2016-05-17;374;0,037400
2016-05-18;377;0,037700
2016-05-19;394;0,039400
2016-05-20;392;0,039200
2016-05-23;397;0,039700
2016-05-24;395;0,039500
2016-05-25;391;0,039100
2016-05-26;395;0,039500
2016-05-27;391;0,039100
2016-05-30;391;0,039100
2016-05-31;404;0,040400
2016-06-01;401;0,040100
2016-06-02;392;0,039200
2016-06-03;391;0,039100
2016-06-06;385;0,038500
2016-06-07;377;0,037700
2016-06-08;371;0,037100
2016-06-09;375;0,037500
2016-06-10;383;0,038300
2016-06-13;389;0,038900
2016-06-14;401;0,040100
2016-06-15;395;0,039500
2016-06-16;399;0,039900
2016-06-17;392;0,039200
2016-06-20;380;0,038000
2016-06-21;378;0,037800
2016-06-22;376;0,037600
2016-06-23;365;0,036500
2016-06-24;384;0,038400
2016-06-27;393;0,039300
2016-06-28;376;0,037600
2016-06-29;354;0,035400
2016-06-30;350;0,035000
2016-07-01;347;0,034700
2016-07-04;347;0,034700
2016-07-05;352;0,035200
2016-07-06;355;0,035500
2016-07-07;355;0,035500
2016-07-08;345;0,034500
2016-07-11;340;0,034000
2016-07-12;331;0,033100
2016-07-13;334;0,033400
2016-07-14;331;0,033100
2016-07-15;331;0,033100
2016-07-18;332;0,033200
2016-07-19;332;0,033200
2016-07-20;330;0,033000
2016-07-21;337;0,033700
2016-07-22;338;0,033800
2016-07-25;341;0,034100
2016-07-26;343;0,034300
2016-07-27;344;0,034400
2016-07-28;340;0,034000
2016-07-29;339;0,033900
2016-08-01;336;0,033600
2016-08-02;331;0,033100
2016-08-03;327;0,032700
2016-08-04;325;0,032500
2016-08-05;319;0,031900
2016-08-08;317;0,031700
2016-08-09;320;0,032000
2016-08-10;316;0,031600
2016-08-11;309;0,030900
2016-08-12;306;0,030600
2016-08-15;299;0,029900
2016-08-16;292;0,029200
2016-08-17;298;0,029800
2016-08-18;297;0,029700
2016-08-19;296;0,029600
2016-08-22;303;0,030300
2016-08-23;302;0,030200
2016-08-24;305;0,030500
2016-08-25;306;0,030600
2016-08-26;299;0,029900
2016-08-29;304;0,030400
2016-08-30;306;0,030600
2016-08-31;309;0,030900
2016-09-01;315;0,031500
2016-09-02;309;0,030900
2016-09-05;309;0,030900
2016-09-06;309;0,030900
2016-09-07;303;0,030300
2016-09-08;303;0,030300
2016-09-09;314;0,031400
2016-09-12;313;0,031300
2016-09-13;325;0,032500
2016-09-14;333;0,033300
2016-09-15;331;0,033100
2016-09-16;340;0,034000
2016-09-19;334;0,033400
2016-09-20;328;0,032800
2016-09-21;312;0,031200
2016-09-22;306;0,030600
2016-09-23;315;0,031500
2016-09-26;320;0,032000
2016-09-27;322;0,032200
2016-09-28;311;0,031100
2016-09-29;318;0,031800
2016-09-30;319;0,031900
2016-10-03;315;0,031500
2016-10-04;318;0,031800
2016-10-05;319;0,031900
2016-10-06;317;0,031700
2016-10-07;317;0,031700
2016-10-10;317;0,031700
2016-10-11;319;0,031900
2016-10-12;314;0,031400
2016-10-13;313;0,031300
2016-10-14;309;0,030900
2016-10-17;314;0,031400
2016-10-18;314;0,031400
2016-10-19;311;0,031100
2016-10-20;308;0,030800
2016-10-21;308;0,030800
2016-10-24;305;0,030500
2016-10-25;307;0,030700
2016-10-26;309;0,030900
2016-10-27;313;0,031300
2016-10-28;308;0,030800
2016-10-31;313;0,031300
2016-11-01;323;0,032300
2016-11-02;328;0,032800
2016-11-03;327;0,032700
2016-11-04;328;0,032800
2016-11-07;314;0,031400
2016-11-08;303;0,030300
2016-11-09;306;0,030600
2016-11-10;341;0,034100
2016-11-11;341;0,034100
2016-11-14;357;0,035700
2016-11-15;330;0,033000
2016-11-16;329;0,032900
2016-11-17;331;0,033100
2016-11-18;334;0,033400
2016-11-21;333;0,033300
2016-11-22;332;0,033200
2016-11-23;336;0,033600
2016-11-24;336;0,033600
2016-11-25;337;0,033700
2016-11-28;334;0,033400
2016-11-29;337;0,033700
2016-11-30;337;0,033700
2016-12-01;348;0,034800
2016-12-02;350;0,035000
2016-12-05;342;0,034200
2016-12-06;341;0,034100
2016-12-07;336;0,033600
2016-12-08;334;0,033400
2016-12-09;328;0,032800
2016-12-12;330;0,033000
2016-12-13;324;0,032400
2016-12-14;332;0,033200
2016-12-15;332;0,033200
2016-12-16;328;0,032800
2016-12-19;327;0,032700
2016-12-20;324;0,032400
2016-12-21;323;0,032300
2016-12-22;326;0,032600
2016-12-23;325;0,032500
2016-12-26;325;0,032500
2016-12-27;322;0,032200
2016-12-28;325;0,032500
2016-12-29;325;0,032500
2016-12-30;328;0,032800
2017-01-02;328;0,032800
2017-01-03;325;0,032500
2017-01-04;311;0,031100
2017-01-05;302;0,030200
2017-01-06;301;0,030100
2017-01-09;302;0,030200
2017-01-10;305;0,030500
2017-01-11;305;0,030500
2017-01-12;298;0,029800
2017-01-13;288;0,028800
2017-01-16;288;0,028800
2017-01-17;282;0,028200
2017-01-18;291;0,029100
2017-01-19;296;0,029600
2017-01-20;294;0,029400
2017-01-23;295;0,029500
2017-01-24;293;0,029300
2017-01-25;296;0,029600
2017-01-26;296;0,029600
2017-01-27;284;0,028400
2017-01-30;291;0,029100
2017-01-31;289;0,028900
2017-02-01;285;0,028500
