ticker;janela_inicio;janela_fim;n_semanas;beta_l_ols;alpha_ols;r_squared;p_value;stderr;cov_sp500_semanal;var_sp500_semanal;de_ratio_mktcap;dv_book;beta_u_hamada;peso_dv_book_bruto;peso_dv_book_final;contribuicao_beta_u
AEE;2020-10-01;2025-09-30;260;0.428332;0.572151;0.143345;0.0;0.06519;0.00022752;0.00053118;0.65936;0.594424;0.298453;0.051386;0,051386;0,015336
AEP;2020-10-01;2025-09-30;260;0.313575;0.687445;0.072479;1.1e-05;0.069837;0.00016656;0.00053118;0.712583;0.60578;0.213272;0.052367;0,052367;0,011168
CNP;2020-10-01;2025-09-30;260;0.548354;0.453179;0.18878;0.0;0.070769;0.00029127;0.00053118;0.820376;0.673249;0.355739;0.0582;0,0582;0,020704
D;2020-10-01;2025-09-30;260;0.396695;0.60225;0.09722;0.0;0.075259;0.00021071;0.00053118;0.813413;0.594247;0.258121;0.05137;0,05137;0,01326
ED;2020-10-01;2025-09-30;260;0.221492;0.779539;0.039567;0.001263;0.067939;0.00011765;0.00053118;0.723936;0.539817;0.14988;0.046665;0,046665;0,006994
EIX;2020-10-01;2025-09-30;260;0.617199;0.382306;0.163048;0.0;0.087058;0.00032784;0.00053118;1.501979;0.683282;0.309947;0.059067;0,059067;0,018308
ES;2020-10-01;2025-09-30;260;0.445034;0.553844;0.116163;0.0;0.076425;0.00023639;0.00053118;1.150679;0.648082;0.25294;0.056024;0,056024;0,014171
ETR;2020-10-01;2025-09-30;260;0.498711;0.503187;0.147615;0.0;0.074609;0.0002649;0.00053118;0.608048;0.645162;0.355889;0.055772;0,055772;0,019849
EXC;2020-10-01;2025-09-30;260;0.474632;0.52689;0.135409;0.0;0.074667;0.00025211;0.00053118;1.068415;0.634905;0.278351;0.054885;0,054885;0,015277
FE;2020-10-01;2025-09-30;260;0.389799;0.611715;0.096386;0.0;0.074305;0.00020705;0.00053118;0.988383;0.655995;0.235908;0.056708;0,056708;0,013378
HE;2020-10-01;2025-09-30;260;0.609335;0.388456;0.028029;0.006817;0.223394;0.00032366;0.00053118;1.316378;0.648192;0.326055;0.056034;0,056034;0,01827
IDA;2020-10-01;2025-09-30;260;0.353553;0.647865;0.100844;0.0;0.065726;0.0001878;0.00053118;0.46448;0.505892;0.270599;0.043732;0,043732;0,011834
NEE;2020-10-01;2025-09-30;260;0.661516;0.337867;0.161587;0.0;0.093812;0.00035138;0.00053118;0.528497;0.589884;0.490445;0.050993;0,050993;0,025009
NWE;2020-10-01;2025-09-30;260;0.383598;0.616935;0.087538;1e-06;0.077104;0.00020376;0.00053118;0.799844;0.543656;0.251063;0.046997;0,046997;0,011799
OGE;2020-10-01;2025-09-30;260;0.515285;0.485796;0.170917;0.0;0.070655;0.00027371;0.00053118;0.579952;0.532143;0.372648;0.046002;0,046002;0,017143
PCG;2020-10-01;2025-09-30;260;0.631401;0.368939;0.138851;0.0;0.097895;0.00033538;0.00053118;1.690011;0.65162;0.298477;0.05633;0,05633;0,016813
PEG;2020-10-01;2025-09-30;260;0.543294;0.457413;0.210085;0.0;0.065587;0.00028858;0.00053118;0.607924;0.587655;0.387726;0.050801;0,050801;0,019697
PNW;2020-10-01;2025-09-30;260;0.476515;0.523666;0.131498;0.0;0.076242;0.00025311;0.00053118;1.153208;0.668622;0.270575;0.0578;0,0578;0,015639
PPL;2020-10-01;2025-09-30;260;0.455208;0.54544;0.147414;0.0;0.068155;0.0002418;0.00053118;0.726947;0.565277;0.307618;0.048866;0,048866;0,015032
TOTAL_PONDERADO;2020-10-01;2025-09-30;;;;;;;;;;;;;1,0;0,299681
