data;^SP500TR;AEE;AEP;CNP;D;ED;EIX;ES;ETR;EXC;FE;HE;IDA;NEE;NWE;OGE;PCG;PEG;PNW;PPL
2020-10-12;1,00206208;1,00414370;1,01892661;0,97566665;0,99547565;0,98970273;1,03601342;0,99164760;1,00774705;1,07372466;1,01505461;0,98955614;0,99645405;1,00888032;0,99444034;0,99791756;0,97862447;1,03370398;0,98195275;0,98790603
2020-10-19;0,99485687;1,01213730;1,00393344;1,06618716;0,99668365;0,99877628;1,04095697;1,00601597;1,02137408;1,00261332;1,05080464;1,02316042;1,04752586;0,99172120;1,08579132;1,05069698;0,97340930;1,02386522;1,06981622;1,00279813
2020-10-26;0,94380873;0,97277841;0,97877667;0,95051706;0,99014041;0,96188727;0,92643403;0,94889679;0,92905010;0,94526067;0,89249260;0,94670488;0,96142490;0,96624550;0,92560361;0,92792529;0,93268292;0,95453084;0,94050509;0,95919093
2020-11-02;1,07359788;1,00899919;1,01100856;1,08187432;1,04182211;0,99120928;1,04068518;1,06313708;1,03645550;1,07395357;0,97812920;1,00393441;1,02918040;1,03428482;1,01515427;1,02957427;1,06171532;1,00464316;1,03755901;1,00399988
2020-11-09;1,02214230;1,00329878;0,98845168;1,06080491;1,01469533;1,04922866;1,09842254;1,00549691;1,04070129;1,00116675;1,02894476;1,12541484;1,04626883;1,01941317;1,10204082;1,07196939;1,12315285;1,01643264;1,06766924;1,07968117
2020-11-16;0,99271371;0,95530892;0,92541302;0,96742268;0,92605692;0,94805864;0,98938506;0,95004819;1,00693210;0,98505376;0,94883083;0,97615833;0,96340581;0,97875430;1,00771618;0,99322748;1,11052643;0,98029637;0,93058330;0,97785987
2020-11-23;1,02298291;1,00688362;1,02945831;1,03215278;1,00495855;1,01429120;0,99069086;0,99210217;1,02321530;0,99689543;0,95428566;1,01168067;1,01971170;0,99444088;1,03726388;0,99762806;1,00552904;1,01958447;1,00828822;0,99862781
2020-11-30;1,01723965;0,97581983;0,98198301;0,94972995;0,96002044;0,96836824;0,98471121;0,97281934;0,95713411;0,98059388;1,08345832;0,98303192;0,99413542;0,96978666;0,93963269;0,97711768;0,98114699;0,97101933;0,98177304;0,98282360
2020-12-07;0,99052885;1,00505939;0,99244514;0,95144355;0,99502482;0,97145130;1,01568803;1,00292226;0,96299037;1,00635245;1,04939551;1,04315171;1,02545358;1,01765087;0,97712990;0,97810212;0,95596469;0,98004489;0,96735806;0,98147523
2020-12-14;1,01286487;1,02469103;1,00640402;1,00551711;1,00614094;0,97252586;0,99585972;0,98741140;0,97314656;1,03350327;0,99868319;0,94742465;1,01129229;1,00961994;1,00071465;0,96828350;1,02763823;1,01470772;0,98657804;0,97366732
2020-12-21;0,99851694;0,96969318;0,97754842;0,98674013;0,98487474;0,99002150;0,99440367;0,99338893;0,95330950;0,98261679;0,97824668;0,97436616;1,00189617;1,00630821;1,02166448;1,00032114;1,00977994;1,00580794;0,99008283;0,99777343
2020-12-28;1,01450762;1,02079233;1,02272184;1,00278039;1,01306702;1,02597940;1,01013016;1,03498525;1,04708946;1,00932354;1,03133419;1,02312813;1,00967305;1,02894122;1,03003014;1,02279301;1,00564976;1,02012240;1,02671114;1,04871718
2021-01-04;1,01880695;0,96079921;0,95088255;0,95702383;0,97340428;0,96762127;1,00241089;1,04415652;0,95643021;0,99976324;0,97713180;0,96580959;0,92898034;1,05158773;0,97616185;1,00659122;0,98234353;0,98301899;0,97273307;0,98617030
2021-01-11;0,98539081;0,99186683;1,01629209;1,03621439;0,98469960;0,99528108;0,99309796;0,98051636;0,99748671;1,02724462;1,05884300;0,99853724;1,01277912;1,01121638;1,03882645;0,98835994;1,00000000;1,03611929;1,01002945;1,02732818
2021-01-18;1,01956537;0,97970134;1,02000743;0,99906816;1,00291363;0,98893695;0,95846130;0,98690257;0,98656171;0,98108854;0,98736973;1,01084061;0,97852773;1,02645046;0,93742606;1,00191677;0,95751627;0,98282232;0,98141292;0,97374860
2021-01-25;0,96711359;0,99780480;0,98574566;0,98367514;1,00829984;1,02833051;0,98077558;1,00102961;1,01447269;0,97696293;0,98369045;0,95826096;0,99875598;0,96033745;0,98268090;0,97321442;0,97525612;0,96692955;0,97613223;0,99460830
2021-02-01;1,04669440;1,02035200;1,01581980;1,01469909;1,01166119;1,01017227;1,00842509;1,00342880;1,01363691;1,05101058;1,04941476;1,03145792;1,00373701;1,03375765;1,03616659;1,02981660;1,03762023;1,05121387;1,04493122;1,00722819
2021-02-08;1,01282641;0,98760127;0,95644235;0,99906534;0,97464096;0,99384656;0,98738283;0,97004565;0,98199314;0,96634622;0,97957322;1,01818197;0,98381946;0,99437801;1,00000000;1,00349983;0,99494094;0,98229939;0,97955799;1,00502326
2021-02-15;0,99323207;0,98703620;1,01525676;1,00233858;0,98998171;0,95947068;0,95354858;0,95643995;0,99179277;0,98033625;1,08930850;1,00864035;1,01954005;0,93949246;1,03880207;1,01204816;0,98644074;0,99107613;1,00091881;0,98821855
2021-02-22;0,97590531;0,97151923;0,94650954;0,91392838;0,96022502;0,97350965;0,97772563;0,97569333;0,93163766;0,93281790;0,97384646;0,99828681;0,97799940;0,94084522;0,99744171;0,91697978;0,90292102;0,93212093;0,91699450;0,94617056
2021-03-01;1,00838357;1,03685786;1,05410816;1,06275723;1,02254083;1,04036566;1,06871611;1,01484690;1,02672493;1,02694282;1,00211233;1,07556506;1,04522247;0,96721474;1,04155276;1,08438696;1,03235028;1,04514234;1,09109098;1,07865597
2021-03-08;1,02687781;1,06093849;1,02712338;1,06340759;1,06229485;1,03865300;1,00901237;1,02551347;1,07438583;1,08486746;1,05179174;1,07814182;1,07810092;1,07029715;1,03628290;1,00220541;1,06082911;1,02541782;1,02660569;0,98088490
2021-03-15;0,99256445;1,02701873;1,03245263;1,01319981;0,99741664;1,01917099;1,02147016;1,00048724;1,02798664;1,00892245;0,99799585;1,06127030;1,03159075;0,93617038;1,01825737;1,01477496;0,97827977;1,03048896;1,03140560;1,08373202
2021-03-22;1,01580966;1,03375631;1,01577637;0,98697216;1,03312880;1,02959877;1,02034653;1,04443611;1,00000000;1,01303242;0,98307507;1,04224347;1,01356612;1,04545457;1,01901626;1,00371769;1,07193615;1,00661997;0,99294426;0,98918565
2021-03-29;1,01159295;0,99472150;1,00647127;1,03095126;0,99920811;0,99798518;0,96061296;1,00792653;1,01219017;1,00872948;1,00116735;1,00562958;0,98671393;1,02308951;0,99938336;1,00648147;0,95277554;1,00623937;1,01982071;0,98291761
2021-04-05;1,02755070;0,99382944;1,00409174;1,02604862;1,00765988;1,01184543;1,03572607;0,99664607;1,01505415;1,02095183;1,01340707;0,94894740;0,99172147;1,02863913;1,03348752;0,98742727;1,00086940;1,02647934;0,99951092;0,99548116
2021-04-12;1,01388576;1,04606965;1,03096994;1,03528387;1,03394507;1,04044184;1,02763356;1,04072883;1,05438003;1,02966758;1,02645960;1,00660691;1,01619246;1,03849100;1,03822625;1,05242713;1,00608171;1,03428559;1,03827825;1,01745840
2021-04-19;0,99888192;1,00641046;0,99040102;1,00290926;1,00621111;0,99028242;0,96463482;0,98305288;1,00065648;0,97292053;1,02829943;1,00187547;0,99247823;0,96664211;0,98144673;0,98446363;0,94732292;0,99352806;0,98716140;1,00068630
2021-04-26;1,00038737;1,00070764;1,01151645;1,01491932;1,00655085;0,99948372;1,00439303;0,97788351;1,02417773;1,00066769;1,03324269;1,00748694;1,02193845;0,99066969;0,99692268;1,01851298;1,03190516;1,00349541;1,01002280;0,99897098
2021-05-03;1,01263634;1,00165017;0,98286548;1,00000000;0,98185209;1,00878397;0,98536582;0,97506373;0,99103299;0,99421453;0,98945112;1,04946603;1,00761135;0,96155322;0,99573717;1,01102520;0,96643119;0,99984163;1,02757094;1,00411961
2021-05-10;0,98653476;0,98493730;1,00349517;1,02164147;0,99515623;1,01126925;0,99675634;1,01248947;0,99825844;1,00917657;1,01282676;0,98694399;0,99324938;0,98108181;0,96102723;1,01385201;0,98811700;0,99002385;0,99930345;1,00034182
2021-05-17;0,99608507;1,01684621;0,99873212;0,98760996;1,00204959;0,99987324;0,99623224;0,98789947;0,99496187;1,02574648;1,01063521;0,98923752;0,98969062;1,01805215;0,96973907;0,97965101;0,95097124;1,00799738;0,99907043;1,00820245
2021-05-24;1,01195288;0,98930795;0,99249864;1,03055263;0,97328378;0,98794204;0,96046076;0,97247159;0,98705943;0,98429308;0,99736931;0,98329302;0,97172642;0,98361123;1,00348475;1,02373883;0,98638151;0,98571889;0,98371722;0,98677957
2021-05-31;1,00644376;1,02292167;1,00034878;1,00395253;1,00499116;1,00000000;1,01073935;1,01046929;1,00627010;1,01063830;1,01107884;1,00743340;1,00602332;0,98798119;1,00457775;0,99507258;1,02366852;0,98631675;1,02896647;0,99587764
2021-06-07;1,00430472;0,99605222;0,98523804;1,02952757;1,01885699;0,99987050;1,02656277;1,00938568;1,02851211;1,02872806;1,01121835;1,03389437;1,02384821;1,02126725;1,02309881;1,03262441;1,01156078;1,00865017;1,00746887;1,01172834
2021-06-14;0,98129947;0,96325585;0,97156658;0,94187406;0,96766697;0,96452129;0,95877167;0,96510099;0,94905449;0,94969095;0,95794631;0,93532552;0,98265445;0,99714255;0,94132999;0,94301829;0,97142855;0,96825366;0,92438412;0,95507150
2021-06-21;1,02757694;0,99549399;1,02938662;1,00487186;1,00387613;0,99167691;1,02554868;1,00462971;0,98249365;1,00179575;1,01508191;1,02098249;1,00897714;1,00791464;1,00648398;1,02841759;0,99705880;1,00876315;1,01949417;1,02499092
2021-06-28;1,01705105;0,98727629;1,00507253;1,00646453;0,98801750;0,98104779;1,00087727;1,00510629;1,00226405;1,01120309;0,99442843;0,99042487;0,97610722;1,00568651;0,98887078;0,99563703;1,02458209;1,00400945;1,00326752;0,99823319
2021-07-05;1,00421472;1,01511783;1,00223024;1,02248110;1,01805698;1,01145299;1,03339106;1,02391582;1,01090269;0,99512537;1,00133376;1,00235799;1,01679643;1,00955852;1,00678581;0,99123603;0,99520159;1,00648910;1,00904724;1,00672584
2021-07-12;0,99044171;1,03833013;1,02459284;1,00471136;1,02131046;1,02223760;0,99502422;1,05724328;1,01748925;1,02404812;1,00692817;1,00964466;1,04522559;1,03907184;1,03287861;1,02095344;0,94406940;1,02066457;1,03275518;1,00527419
2021-07-19;1,01972832;0,98036673;0,98274089;0,98397803;0,97615318;0,98999053;0,96964990;0,98695036;0,98109254;1,01152425;1,01799409;1,00629093;1,00944383;0,99075970;1,00254654;0,98247147;0,94177750;0,99157772;0,97870144;0,98845751
2021-07-26;0,99647029;1,00635574;1,02488977;1,01111985;0,99402568;0,99447293;0,96923347;1,00057996;1,00175195;1,00601882;0,99610116;1,00347300;1,00668258;1,00906725;0,98412442;1,00356836;0,95336214;1,01649771;0,98817269;1,00389243
2021-08-02;1,00959239;1,03503332;1,01384441;1,04006304;1,01509266;1,02372245;1,01045873;1,03118127;1,03080059;1,01709386;0,98721299;1,01130604;1,01156969;1,03478826;1,00967892;1,03822210;0,97042072;1,02619320;0,97101683;1,03031373
2021-08-09;1,00751696;1,02279545;1,00391784;1,01586094;1,02250016;1,02939612;1,03504629;1,01663668;1,03572446;1,01575648;1,03199161;1,02030572;1,01366973;1,03523127;1,00894706;1,03567361;1,06916781;1,01346689;0,99302989;1,00615797
