codigo;area;indice;empresa;data_emissao;ano;data_vencimento;quantidade;valor_nominal;valor_emissao;rentabilidade_pct;juros_spread;anos;dias_corridos;di;swap_di_ipca;taxa_nominal_pct;inflacao_implicita;taxa_real;prazo_anos;taxa_real_pct;zscore
CPGT12;T;DI;COPEL GERACAO E TRANSMISSAO S.A.;2016-07-13;2016;2019-07-13;100000;10000,000000;1000000000,000000;121,000000;;3,000000;1095;12,110000;6,160000;14,653100;0,056047;0,085681;2,997947;8,568130;1,562279
EATE15;T;DI;EMPRESA AMAZONENSE DE TRANSMISSAO DE ENERGIA S.A.;2016-09-06;2016;2019-09-06;12600;10000,000000;126000000,000000;113,000000;;3,000000;1095;11,820000;6,000000;13,356600;0,054906;0,074566;2,997947;7,456623;0,867580
EATE25;T;DI;EMPRESA AMAZONENSE DE TRANSMISSAO DE ENERGIA S.A.;2016-09-06;2016;2021-09-06;5400;10000,000000;54000000,000000;116,000000;;5,002740;1826;11,890000;6,000000;13,792400;0,055566;0,078023;4,999316;7,802256;1,083603
ENTE13;T;DI;EMPRESA NORTE DE TRANSMISSAO DE ENERGIA S.A;2016-09-06;2016;2019-09-06;2800;10000,000000;28000000,000000;113,000000;;3,000000;1095;11,820000;6,000000;13,356600;0,054906;0,074566;2,997947;7,456623;0,867580
ENTE23;T;DI;EMPRESA NORTE DE TRANSMISSAO DE ENERGIA S.A;2016-09-06;2016;2021-09-06;1200;10000,000000;12000000,000000;116,000000;;5,002740;1826;11,890000;6,000000;13,792400;0,055566;0,078023;4,999316;7,802256;1,083603
CMTR17;T;DI;CEMIG GERACAO E TRANSMISSAO S/A;2016-12-23;2016;2021-12-23;224000;10000,000000;2240000000,000000;140,000000;;5,002740;1826;11,550000;6,050000;16,170000;0,051862;0,104422;4,999316;10,442210;2,733589
XNGU11;T;DI;XINGU RIO TRANSMISSORA DE ENERGIA S.A.;2017-05-25;2017;2019-04-02;550000;1000,000000;550000000,000000;105,000000;;1,854795;677;9,800000;5,060000;10,290000;0,045117;0,055288;1,853525;5,528847;-0,337291
ISAV11;T;DI;ISA INVESTIMENTOS E PARTICIPACOES DO BRASIL S.A.;2017-06-02;2017;2022-06-02;350000000;1,000000;350000000,000000;100,000000;1,680000;5,002740;1826;10,870000;5,690000;12,550000;0,049011;0,072915;4,999316;7,291508;0,764382
TAES24;T;DI;TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A;2017-09-15;2017;2020-09-15;287669;1000,000000;287669000,000000;105,000000;;3,002740;1096;8,820000;4,070000;9,261000;0,045642;0,044918;3,000684;4,491750;-0,985483
TRSU12;T;DI;COMPANHIA TRANSUDESTE DE TRANSMISSAO;2017-09-26;2017;2022-09-26;50000;1000,000000;50000000,000000;107,750000;;5,002740;1826;9,410000;4,450000;10,139275;0,047487;0,051462;4,999316;5,146214;-0,576439
TRSR12;T;DI;COMPANHIA TRANSIRAPE DE TRANSMISSAO;2017-09-26;2017;2022-09-26;30000;1000,000000;30000000,000000;107,750000;;5,002740;1826;9,410000;4,450000;10,139275;0,047487;0,051462;4,999316;5,146214;-0,576439
EATE16;T;DI;EMPRESA AMAZONENSE DE TRANSMISSAO DE ENERGIA S.A.;2017-09-26;2017;2022-09-26;70000;1000,000000;70000000,000000;107,750000;;5,002740;1826;9,410000;4,450000;10,139275;0,047487;0,051462;4,999316;5,146214;-0,576439
ECTE14;T;DI;ECTE - EMPRESA CATARINENSE DE TRANSMISSAO DE ENERGIA S/A;2017-09-26;2017;2022-09-26;75000;1000,000000;75000000,000000;107,750000;;5,002740;1826;9,410000;4,450000;10,139275;0,047487;0,051462;4,999316;5,146214;-0,576439
TRLT12;T;DI;COMPANHIA TRANSLESTE DE TRANSMISSAO;2017-09-26;2017;2022-09-26;30000;1000,000000;30000000,000000;107,750000;;5,002740;1826;9,410000;4,450000;10,139275;0,047487;0,051462;4,999316;5,146214;-0,576439
VRDS11;T;DI;VEREDAS TRANSMISSORA DE ELETRICIDADE S/A;2017-10-03;2017;2018-10-03;37500;1000,000000;37500000,000000;100,000000;2,330000;1,000000;365;7,150000;3,290000;9,480000;0,037371;0,055361;0,999316;5,536063;-0,332781
CPGT13;T;DI;COPEL GERACAO E TRANSMISSAO S.A.;2017-10-20;2017;2022-10-20;1000000;1000,000000;1000000000,000000;126,000000;;5,002740;1826;9,500000;4,410000;11,970000;0,048750;0,067652;4,999316;6,765184;0,435427
