codigo;empresa;classificacao;data_emissao;data_vencimento;valor_nominal;indice;juros_real_pct;valor_emissao_mi;custo_emissao_pct;prazo_anos;remuneracao_real
FLCL16;ENERGISA MINAS GERAIS DISTRIBUIDORA DE ENERGIA S/A;D;2003-07-15;2006-07-15;1000000,000000;DI;;110,000000;0,021270;3,002740;
FLCL26;ENERGISA MINAS GERAIS DISTRIBUIDORA DE ENERGIA S/A;D;2003-07-15;2008-01-15;1000000,000000;DI;;20,000000;0,021270;4,506849;
CEPE11;COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE;D;2004-01-27;2012-01-27;28431,000000;DI;;127,939500;0,020800;8,005479;
COCE11;COMPANHIA ENERGETICA DO CEARA-COELCE;D;2004-02-20;2012-02-20;1000,000000;DI;;88,527000;0,019400;8,005479;
COEL14;CIA. DE ELETRIC. DO EST. DA BAHIA-COELBA;D;2004-06-01;2008-06-01;100000,000000;DI;;450,000000;0,020200;4,002740;
CERJ12;AMPLA ENERGIA E SERVICOS S/A;D;2004-06-01;2007-06-01;10000,000000;DI;;294,000000;0,020200;3,000000;
CEGN12;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN;D;2004-06-01;2008-06-01;100000,000000;DI;;120,000000;0,018200;4,002740;
PALF12;COMPANHIA PAULISTA DE FORCA E LUZ;D;2004-07-01;2009-07-01;10000,000000;DI;;119,680000;0,010663;5,002740;
NEOE12;NEOENERGIA S/A;H;2004-12-01;2008-02-01;10000,000000;DI;;215,000000;0,018400;3,169863;
CPEL13;COMPANHIA PARANAENSE DE ENERGIA-COPEL;H;2005-02-01;2009-02-01;10000,000000;DI;0,124455;400,000000;0,017970;4,002740;0,006078
AMPL13;AMPLA ENERGIA E SERVICOS S/A;D;2005-03-01;2008-03-01;10000,000000;DI;0,109787;290,000000;0,013141;3,002740;0,005443
RIGE22;RGE SUL DISTRIBUIDORA DE ENERGIA S/A;D;2005-04-01;2009-04-01;10000,000000;DI;0,101331;203,800000;0,008220;4,002740;0,002621
CEBA15;CIA. DE ELETRIC. DO EST. DA BAHIA-COELBA;D;2005-06-01;2010-06-01;10000,000000;DI;0,106973;440,000000;0,010000;5,002740;0,002711
CEPE12;COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE;D;2005-08-01;2013-08-01;10000,000000;DI;0,103115;400,000000;0,011500;8,005479;0,002204
ELSP18;ELETROPAULO METROPOL. ELETR. DE S.P. S/A;D;2005-08-20;2010-08-20;10000,000000;DI;0,120895;800,000000;0,008820;5,002740;0,002473
