codigo;empresa;classificacao;data_emissao;data_vencimento;valor_nominal;indice;juros_real_pct;valor_emissao_mi;custo_emissao_pct;prazo_anos;remuneracao_real
FLCL16;ENERGISA MINAS GERAIS DISTRIBUIDORA DE ENERGIA S/A;D;2003-07-15;2006-07-15;1000000.0;DI;;110.0;0.02127;3.0027397260273974;
FLCL26;ENERGISA MINAS GERAIS DISTRIBUIDORA DE ENERGIA S/A;D;2003-07-15;2008-01-15;1000000.0;DI;;20.0;0.02127;4.506849315068493;
CEPE11;COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE;D;2004-01-27;2012-01-27;28431.0;DI;;127.9395;0.0208;8.005479452054795;
COCE11;COMPANHIA ENERGETICA DO CEARA-COELCE;D;2004-02-20;2012-02-20;1000.0;DI;;88.527;0.0194;8.005479452054795;
COEL14;CIA. DE ELETRIC. DO EST. DA BAHIA-COELBA;D;2004-06-01;2008-06-01;100000.0;DI;;450.0;0.0202;4.002739726027397;
CERJ12;AMPLA ENERGIA E SERVICOS S/A;D;2004-06-01;2007-06-01;10000.0;DI;;294.0;0.0202;3.0;
CEGN12;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN;D;2004-06-01;2008-06-01;100000.0;DI;;120.0;0.0182;4.002739726027397;
PALF12;COMPANHIA PAULISTA DE FORCA E LUZ;D;2004-07-01;2009-07-01;10000.0;DI;;119.68;0.01066299999999992;5.002739726027397;
NEOE12;NEOENERGIA S/A;H;2004-12-01;2008-02-01;10000.0;DI;;215.0;0.0184;3.16986301369863;
CPEL13;COMPANHIA PARANAENSE DE ENERGIA-COPEL;H;2005-02-01;2009-02-01;10000.0;DI;0.12445538698103564;400.0;0.017969675;4.002739726027397;0.006077857031682869
AMPL13;AMPLA ENERGIA E SERVICOS S/A;D;2005-03-01;2008-03-01;10000.0;DI;0.10978740848567892;290.0;0.013141;3.0027397260273974;0.005442826852007149
RIGE22;RGE SUL DISTRIBUIDORA DE ENERGIA S/A;D;2005-04-01;2009-04-01;10000.0;DI;0.10133099361430387;203.8;0.00822;4.002739726027397;0.0026207292558628743
CEBA15;CIA. DE ELETRIC. DO EST. DA BAHIA-COELBA;D;2005-06-01;2010-06-01;10000.0;DI;0.10697264516129024;440.0;0.01;5.002739726027397;0.002711111234791418
CEPE12;COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE;D;2005-08-01;2013-08-01;10000.0;DI;0.10311506125970649;400.0;0.011499999999999955;8.005479452054795;0.002204480179437238
ELSP18;ELETROPAULO METROPOL. ELETR. DE S.P. S/A;D;2005-08-20;2010-08-20;10000.0;DI;0.1208948040812825;800.0;0.00882;5.002739726027397;0.00247299572295924
CEGN13;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN;D;2005-09-01;2010-09-01;10000.0;DI;0.1100176183545929;179.0;0.01346;5.002739726027397;0.003690188578392544
EKTR22;ELEKTRO REDES S.A.;D;2005-09-01;2011-09-01;10000.0;DI;0.11332558498328615;187.5;0.01753548;6.002739726027397;0.0042580704985660375
EKTR32;ELEKTRO REDES S.A.;D;2005-09-01;2011-09-01;10000.0;DI;0.11332558498328615;187.5;0.01753548;6.002739726027397;0.0042580704985660375
ELSP19;ELETROPAULO METROPOL. ELETR. DE S.P. S/A;D;2005-12-20;2018-08-20;10000.0;DI;0.1077857291938431;250.0;0.008699;12.673972602739726;0.0013014972928895065
