codigo;area;indice;empresa;data_emissao;ano;data_vencimento;quantidade;valor_nominal;valor_emissao;rentabilidade_pct;juros_spread;anos;dias_corridos;di;swap_di_ipca;taxa_nominal_pct;inflacao_implicita;taxa_real
FLCL16;D;DI;ENERGISA MINAS GERAIS DISTRIBUIDORA DE ENERGIA S/A;2003-07-15;2003;2006-07-15;110;1000000.0;110000000.0;100.0;4.5;3.0027397260273974;1096;;;;;
FLCL26;D;DI;ENERGISA MINAS GERAIS DISTRIBUIDORA DE ENERGIA S/A;2003-07-15;2003;2008-01-15;20;1000000.0;20000000.0;100.0;4.5;4.506849315068493;1645;;;;;
CEGN12;D;DI;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN;2004-06-01;2004;2008-06-01;1200;100000.0;120000000.0;100.0;2.5;4.002739726027397;1461;;;;;
CEPE11;D;DI;COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE;2004-01-27;2004;2012-01-27;4500;28431.0;127939500.0;100.0;1.7;8.005479452054795;2922;;;;;
CERJ12;D;DI;AMPLA ENERGIA E SERVICOS S/A;2004-06-01;2004;2007-06-01;29400;10000.0;294000000.0;100.0;4.0;3.0;1095;;;;;
COCE11;D;DI;COMPANHIA ENERGETICA DO CEARA-COELCE;2004-02-20;2004;2012-02-20;88527;1000.0;88527000.0;116.0;0.0;8.005479452054795;2922;;;;;
COEL14;D;DI;CIA. DE ELETRIC. DO EST. DA BAHIA-COELBA;2004-06-01;2004;2008-06-01;4500;100000.0;450000000.0;100.0;3.5;4.002739726027397;1461;;;;;
PALF12;D;DI;COMPANHIA PAULISTA DE FORCA E LUZ;2004-07-01;2004;2009-07-01;11968;10000.0;119680000.0;109.0;0.0;5.002739726027397;1826;;;;;
AMPL13;D;DI;AMPLA ENERGIA E SERVICOS S/A;2005-03-01;2005;2008-03-01;29000;10000.0;290000000.0;100.0;1.2;3.0027397260273974;1096;16.81;9.85;18.009999999999998;0.06335912608101957;0.10978499272322573
CEBA15;D;DI;CIA. DE ELETRIC. DO EST. DA BAHIA-COELBA;2005-06-01;2005;2010-06-01;44000;10000.0;440000000.0;100.0;1.4;5.002739726027397;1826;16.25;9.38;17.65;0.06280855732309387;0.10697264516129024
CEGN13;D;DI;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN;2005-09-01;2005;2010-09-01;17900;10000.0;179000000.0;100.0;1.3;5.002739726027397;1826;16.81;9.78;18.11;0.06403716523957015;0.1100176183545929
CEPE12;D;DI;COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE;2005-08-01;2005;2013-08-01;40000;10000.0;400000000.0;108.5;0.0;8.005479452054795;2922;15.9;9.04;17.2515;0.06291269258987531;0.10311506125970649
EKTR22;D;DI;ELEKTRO REDES S.A.;2005-09-01;2005;2011-09-01;18750;10000.0;187500000.0;100.0;1.65;6.002739726027397;2191;16.67;9.78;18.32;0.06276188741118616;0.11332558498328615
EKTR32;D;DI;ELEKTRO REDES S.A.;2005-09-01;2005;2011-09-01;18750;10000.0;187500000.0;100.0;1.65;6.002739726027397;2191;16.67;9.78;18.32;0.06276188741118616;0.11332558498328615
ELSP18;D;DI;ELETROPAULO METROPOL. ELETR. DE S.P. S/A;2005-08-20;2005;2010-08-20;80000;10000.0;800000000.0;100.0;2.9;5.002739726027397;1826;16.63;9.37;19.529999999999998;0.06638017737953761;0.1208948040812825
ELSP19;D;DI;ELETROPAULO METROPOL. ELETR. DE S.P. S/A;2005-12-20;2005;2018-08-20;25000;10000.0;250000000.0;100.0;1.12;12.673972602739726;4626;14.99;9.71;16.11;0.0481268799562482;0.1077857291938431
