data;embi_bps;embi_decimal
2008-01-02;227;0.0227
2008-01-03;226;0.0226
2008-01-04;231;0.0231
2008-01-07;229;0.0229
2008-01-08;225;0.0225
2008-01-09;238;0.0238
2008-01-10;226;0.0226
2008-01-11;231;0.0231
2008-01-14;231;0.0231
2008-01-15;238;0.0238
2008-01-16;236;0.0236
2008-01-17;248;0.0248
2008-01-18;252;0.0252
2008-01-21;252;0.0252
2008-01-22;269;0.0269
2008-01-23;275;0.0275
2008-01-24;252;0.0252
2008-01-25;258;0.0258
2008-01-27;258;0.0258
2008-01-28;259;0.0259
2008-01-29;253;0.0253
2008-01-30;244;0.0244
2008-01-31;255;0.0255
2008-02-01;259;0.0259
2008-02-04;253;0.0253
2008-02-05;265;0.0265
2008-02-06;265;0.0265
2008-02-07;257;0.0257
2008-02-08;273;0.0273
2008-02-11;273;0.0273
2008-02-12;263;0.0263
2008-02-13;258;0.0258
2008-02-14;252;0.0252
2008-02-15;261;0.0261
2008-02-18;261;0.0261
2008-02-19;261;0.0261
2008-02-20;252;0.0252
2008-02-21;255;0.0255
2008-02-22;248;0.0248
2008-02-25;239;0.0239
2008-02-26;238;0.0238
2008-02-27;240;0.024
2008-02-28;255;0.0255
2008-02-29;265;0.0265
2008-03-03;267;0.0267
2008-03-04;258;0.0258
2008-03-05;252;0.0252
2008-03-06;257;0.0257
2008-03-07;273;0.0273
2008-03-10;284;0.0284
2008-03-11;265;0.0265
2008-03-12;272;0.0272
2008-03-13;277;0.0277
2008-03-14;289;0.0289
2008-03-17;305;0.0305
2008-03-18;285;0.0285
2008-03-19;290;0.029
2008-03-20;291;0.0291
2008-03-24;273;0.0273
2008-03-25;275;0.0275
2008-03-26;277;0.0277
2008-03-27;273;0.0273
2008-03-28;278;0.0278
2008-03-31;284;0.0284
2008-04-01;273;0.0273
2008-04-02;268;0.0268
2008-04-03;263;0.0263
2008-04-04;265;0.0265
2008-04-07;258;0.0258
2008-04-08;256;0.0256
2008-04-09;264;0.0264
2008-04-10;256;0.0256
2008-04-11;256;0.0256
2008-04-14;252;0.0252
2008-04-15;245;0.0245
2008-04-16;228;0.0228
2008-04-17;230;0.023
2008-04-18;229;0.0229
2008-04-21;235;0.0235
2008-04-22;234;0.0234
2008-04-23;233;0.0233
2008-04-24;228;0.0228
2008-04-25;225;0.0225
2008-04-28;228;0.0228
2008-04-29;225;0.0225
2008-04-30;218;0.0218
2008-05-01;207;0.0207
2008-05-02;201;0.0201
2008-05-05;201;0.0201
2008-05-06;198;0.0198
2008-05-07;204;0.0204
2008-05-08;211;0.0211
