data;vencimento;taxa_compra_manha;taxa_venda_manha
2004-01-02;2006-08-15;0.0899;0.0901
2004-01-02;2009-05-15;0.08979999999999999;0.0902
2004-01-02;2015-05-15;0.0916;0.09219999999999999
2004-01-02;2024-08-15;0.0918;0.0924
2004-01-05;2006-08-15;0.0899;0.0901
2004-01-05;2009-05-15;0.08979999999999999;0.0902
2004-01-05;2015-05-15;0.0916;0.09219999999999999
2004-01-05;2024-08-15;0.0918;0.0924
2004-01-06;2006-08-15;0.0899;0.0901
2004-01-06;2009-05-15;0.08979999999999999;0.0902
2004-01-06;2015-05-15;0.0916;0.09219999999999999
2004-01-06;2024-08-15;0.0917;0.0923
2004-01-07;2006-08-15;0.0895;0.0897
2004-01-07;2009-05-15;0.08969999999999999;0.0901
2004-01-07;2015-05-15;0.09150000000000001;0.0921
2004-01-07;2024-08-15;0.0917;0.0923
2004-01-08;2006-08-15;0.0891;0.0893
2004-01-08;2009-05-15;0.0891;0.08950000000000001
2004-01-08;2015-05-15;0.0908;0.0914
2004-01-08;2024-08-15;0.09140000000000001;0.092
2004-01-09;2006-08-15;0.0877;0.0879
2004-01-09;2009-05-15;0.0885;0.0889
2004-01-09;2015-05-15;0.0896;0.09019999999999999
2004-01-09;2024-08-15;0.08990000000000001;0.0905
2004-01-12;2006-08-15;0.0868;0.08700000000000001
2004-01-12;2009-05-15;0.0876;0.08800000000000001
2004-01-12;2015-05-15;0.0892;0.08979999999999999
2004-01-12;2024-08-15;0.0896;0.09019999999999999
2004-01-13;2006-08-15;0.0862;0.0864
2004-01-13;2009-05-15;0.0867;0.08710000000000001
2004-01-13;2015-05-15;0.0893;0.0899
2004-01-13;2024-08-15;0.0887;0.08929999999999999
2004-01-14;2006-08-15;0.0846;0.0848
2004-01-14;2009-05-15;0.08389999999999999;0.0843
2004-01-14;2015-05-15;0.0888;0.0894
2004-01-14;2024-08-15;0.08800000000000001;0.0886
2004-01-15;2006-08-15;0.08399999999999999;0.0842
2004-01-15;2009-05-15;0.0837;0.08410000000000001
2004-01-15;2015-05-15;0.0857;0.08629999999999999
2004-01-15;2024-08-15;0.0877;0.08829999999999999
2004-01-16;2006-08-15;0.08349999999999999;0.0837
2004-01-16;2009-05-15;0.08349999999999999;0.0839
2004-01-16;2015-05-15;0.0859;0.0865
2004-01-16;2024-08-15;0.0872;0.08779999999999999
2004-01-19;2006-08-15;0.08349999999999999;0.0837
2004-01-19;2009-05-15;0.08349999999999999;0.0839
2004-01-19;2015-05-15;0.0853;0.08589999999999999
